a,b,output
22,43,65
89,18,10
0,54,54
31,17,48
76,89,68
79,35,17
43,20,63
35,25,60
75,96,74
46,27,73
8,24,32
17,7,24
73,71,47
4,40,44
12,55,67
41,43,84
38,94,35
35,76,14
79,64,46
17,23,40
75,84,62
23,18,41
75,5,80
76,30,9
80,73,56
3,14,17
30,79,12
35,49,84
35,3,38
84,0,84
70,92,65
95,35,33
18,53,71
15,48,63
62,70,35
44,14,58
80,64,47
52,23,75
10,34,44
81,19,3
49,53,5
37,40,77
40,86,29
11,11,22
30,78,11
8,77,85
20,3,23
26,36,62
12,52,64
23,12,35
87,83,73
28,13,41
53,80,36
37,42,79
28,44,72
91,73,67
26,70,96
48,19,67
28,14,42
32,23,55
57,32,89
26,35,61
52,35,87
23,95,21
43,89,35
23,70,93
50,72,25
40,62,5
25,96,24
87,60,50
64,82,49
37,53,90
7,31,38
59,85,47
22,51,73
51,95,49
12,85,0
48,32,80
54,51,8
1,76,77
25,74,2
76,50,29
